LANGUAGE_CODE 英語-美國
ERRMSG_UNLOAD_MOD_LINE2 這可能會導致此世界無法載入。
ERRMSG_UNLOAD_MOD_LINE3 您確定要這麼做嗎？

ERRMSG_INVALID_SHAPE_ID 此世界含有不支援部分

ERRMSG_REQUIRED_MOD 需要模組

MENU_SETTINGS_SETTINGS 自訂設定
MENU_SETTINGS_PLAYERS 玩家
MENU_SETTINGS_BEARINGS 軸承
MENU_SETTINGS_THRUSTERS 推進器
MENU_SETTINGS_BEARINGS_PER_OBJECT 每個物體上的軸承數
MENU_SETTINGS_GAS_ENGINES 燃氣引擎
MENU_SETTINGS_ELECTRIC_ENGINES 電動引擎
MENU_SETTINGS_CONTROLLERS 控制器
MENU_SETTINGS_DRIVERS_SEATS 駕駛座
MENU_SETTINGS_SUSPENSIONS 懸掛

MENU_YN_MESSAGE_CONFIRM 您確定嗎？
MENU_YN_MESSAGE_CONFIRM_DELETE 您確定嗎？
MENU_YN_MESSAGE_ADD_CHALLENGE 您確定嗎？

MENU_YN_TITLE_DELETE_GAME 您確定嗎？
MENU_YN_MESSAGE_DELETE_GAME 此存檔將會永久刪除並無法復原。

MENU_YN_MESSAGE_RESTORE_CONTROLS 將全部控制設定重設為預設值？
MENU_YN_MESSAGE_RESTORE_AUDIO 將全部音訊設定重設為預設值？
MENU_YN_MESSAGE_RESTORE_DISPLAY 將全部顯示設定重設為預設值？
MENU_YN_MESSAGE_RESTORE_GRAPHICS 將全部圖型設定重設為預設值？
MENU_YN_MESSAGE_ACCEPT_DISPLAY 接受這些設定？
MENU_YN_MESSAGE_DELETE_BLUEPRINT 刪除此藍圖？
MENU_YN_MESSAGE_OVERWRITE_BLUEPRINT 作品品稱已存在，取代它？
MENU_YN_MESSAGE_DELETE_FROM_LIFT 從升降台上刪除此作品？
MENU_YN_YES 是
MENU_YN_NO 否
MENU_YN_CANCEL 取消
MENU_YN_OK 確定

MENU_YN_TITLE_MODS_MISSING_WARNING 缺少模組
MENU_YN_MESSAGE_MODS_MISSING_WARNING 找不到此存檔使用的模組。

MENU_OPTION_OFF 關
MENU_OPTION_ON 開
MENU_OPTION_LOW 低
MENU_OPTION_MEDIUM 中
MENU_OPTION_HIGH 高
MENU_OPTION_VERY_HIGH 極高
MENU_OPTION_DISTANCE_SHORT 短
MENU_OPTION_DISTANCE_MEDIUM 中
MENU_OPTION_DISTANCE_FAR 遠
MENU_OPTION_DEFAULT 預設
MENU_OPTION_APPLY 套用

MENU_OPTIONS_CONTROLS 控制
MENU_OPTIONS_CONTROLS_INVERTED_Y_AXIS 反轉 Y 軸
MENU_OPTIONS_CONTROLS_AIM_SENSITIVITY 瞄準靈敏度
MENU_OPTIONS_CONTROLS_MOVE_FORWARD 向前移動
MENU_OPTIONS_CONTROLS_MOVE_BACKWARD 向後移動
MENU_OPTIONS_CONTROLS_STRAFE_LEFT 左平移
MENU_OPTIONS_CONTROLS_STRAFE_RIGHT 右平移
MENU_OPTIONS_CONTROLS_JUMP 跳躍
MENU_OPTIONS_CONTROLS_CRAWL 蹲下
MENU_OPTIONS_CONTROLS_SPRINT 衝刺
MENU_OPTIONS_CONTROLS_USE 使用
MENU_OPTIONS_CONTROLS_INVENTORY 物品欄
MENU_OPTIONS_CONTROLS_ATTACK 攻擊
MENU_OPTIONS_CONTROLS_CREATE 創造
MENU_OPTIONS_CONTROLS_ROTATION_NEXT 下一個旋轉方向
MENU_OPTIONS_CONTROLS_ROTATION_PREVIOUS 上一個旋轉方向
MENU_OPTIONS_CONTROLS_LIFT_UP 上升
MENU_OPTIONS_CONTROLS_LIFT_DOWN 下降
MENU_OPTIONS_CONTROLS_HOTBAR_NEXT 下一個快捷欄物品
MENU_OPTIONS_CONTROLS_HOTBAR_PREVIOUS 上一個快捷欄物品
MENU_OPTIONS_CONTROLS_HOTBAR_ITEM_1 快捷欄物品 1
MENU_OPTIONS_CONTROLS_HOTBAR_ITEM_2 快捷欄物品 2
MENU_OPTIONS_CONTROLS_HOTBAR_ITEM_3 快捷欄物品 3
MENU_OPTIONS_CONTROLS_HOTBAR_ITEM_4 快捷欄物品 4
MENU_OPTIONS_CONTROLS_HOTBAR_ITEM_5 快捷欄物品 5
MENU_OPTIONS_CONTROLS_HOTBAR_ITEM_6 快捷欄物品 6
MENU_OPTIONS_CONTROLS_HOTBAR_ITEM_7 快捷欄物品 7
MENU_OPTIONS_CONTROLS_HOTBAR_ITEM_8 快捷欄物品 8
MENU_OPTIONS_CONTROLS_HOTBAR_ITEM_9 快捷欄物品 9
MENU_OPTIONS_CONTROLS_HOTBAR_ITEM_10 快捷欄物品 10
MENU_OPTIONS_CONTROLS_HOTBAR_NEXT_PAGE 下個快捷欄
MENU_OPTIONS_CONTROLS_HOTBAR_PREVIOUS_PAGE 上個快捷欄
MENU_OPTIONS_CONTROLS_HOTBAR_SELECT_1 選擇快捷列 1
MENU_OPTIONS_CONTROLS_HOTBAR_SELECT_2 選擇快捷列 2
MENU_OPTIONS_CONTROLS_HOTBAR_SELECT_3 選擇快捷列 3
MENU_OPTIONS_CONTROLS_RESET 重設
MENU_OPTIONS_CONTROLS_ZOOM_IN 縮小
MENU_OPTIONS_CONTROLS_ZOOM_OUT 放大
MENU_OPTIONS_CONTROLS_CHAT 聊天
MENU_OPTIONS_CONTROLS_HANDBOOK 指導手冊
MENU_OPTIONS_CONTROLS_LOGBOOK 記錄簿
MENU_OPTIONS_CONTROLS_CANCEL 取消
MENU_OPTIONS_CONTROLS_TINKER 升級
MENU_OPTIONS_CONTROLS_FORCE_BUILD 強制建造

MENU_OPTIONS_CONTROLS_BINDING_SCROLL_UP 向上滾動
MENU_OPTIONS_CONTROLS_BINDING_SCROLL_DOWN 向下滾動
MENU_OPTOINS_CONTROLS_BINDING_MOUSE_BUTTON 滑鼠鍵
MENU_OPTIONS_CONTROLS_BINDING_MOUSE_BUTTON_LEFT 滑鼠左鍵
MENU_OPTIONS_CONTROLS_BINDING_MOUSE_BUTTON_RIGHT 滑鼠右鍵
MENU_OPTIONS_CONTROLS_BINDING_NOT_SET 未設定

MENU_OPTIONS_AUDIO 聲音
MENU_OPTIONS_AUDIO_MASTER 主音量
MENU_OPTIONS_AUDIO_AMBIENT 環境音量
MENU_OPTIONS_AUDIO_MUSIC 音樂音量
MENU_OPTIONS_AUDIO_EFFECT 音效音量
MENU_OPTIONS_AUDIO_GUI 介面音量

MENU_OPTIONS_GRAPHICS 圖型
MENU_OPTIONS_GRAPHICS_SHADER_QUALITY 著色器品質
MENU_OPTIONS_GRAPHICS_REFLECTION_QUALITY 反射品質
MENU_OPTIONS_GRAPHICS_SHADOW_RESOLUTION 陰影解析度
MENU_OPTIONS_GRAPHICS_SHADOW_QUALITY 陰影品質
MENU_OPTIONS_GRAPHICS_SSAO 螢幕空間環境光遮蔽
MENU_OPTIONS_GRAPHICS_FXAA 反鋸齒
MENU_OPTIONS_GRAPHICS_DOF 景深
MENU_OPTIONS_GRAPHICS_BLOOM 模糊效果
MENU_OPTIONS_GRAPHICS_GODRAYS 體積光
MENU_OPTIONS_GRAPHICS_CAMERA_SHAKE 鏡頭晃動
MENU_OPTIONS_GRAPHICS_FOLIAGE 樹葉密度
MENU_OPTIONS_GRAPHICS_CREATIVE_ONLY 僅限創造模式
MENU_OPTIONS_GRAPHICS_PARTICLES_QUALIT 粒子品質
MENU_OPTIONS_GRAPHICS_TEXTURE_QUALITY 貼圖品質
MENU_OPTIONS_GRAPHICS_TEXTURE_FILTERING 材質過濾
MENU_OPTIONS_GRAPHICS_MODELS 模型
MENU_OPTIONS_GRAPHICS_DRAW_DISTANCE 繪製距離
MENU_OPTIONS_GRAPHICS_DYNAMIC_LIGHTS 動態光源

MENU_OPTION_BILINEAR 雙線性
MENU_OPTION_TRILINEAR 三線性
MENU_OPTION_ANISOTROPIC_2X 非等向性過濾 2x
MENU_OPTION_ANISOTROPIC_4X 非等向性過濾 4x
MENU_OPTION_ANISOTROPIC_8X 非等向性過濾 8x
MENU_OPTION_ANISOTROPIC_16X 非等向性過濾 16x

MENU_OPTIONS_DISPLAY 顯示
MENU_OPTIONS_DISPLAY_FOV 視野範圍
MENU_OPTIONS_DISPLAY_DISPLAY_MODE 顯示模式
MENU_OPTIONS_DISPLAY_DISPLAY_MODE_FULLSCREEN 全螢幕
MENU_OPTIONS_DISPLAY_DISPLAY_MODE_WINDOWED 視窗化
MENU_OPTIONS_DISPLAY_DISPLAY_MODE_BORDERLESS_WINDOW 無邊框視窗化
MENU_OPTIONS_DISPLAY_VEHICLE_CAMERA_MODE 車輛鏡頭模式
MENU_OPTIONS_DISPLAY_VEHICLE_CAMERA_MODE_FREE 自由鏡頭
MENU_OPTIONS_DISPLAY_VEHICLE_CAMERA_MODE_FOLLOW 跟隨鏡頭
MENU_OPTIONS_DISPLAY_VEHICLE_CAMERA_MODE_STRICT_FOLLOW 嚴格跟隨相機
MENU_OPTIONS_DISPLAY_RESOLUTION 解析度
MENU_OPTIONS_DISPLAY_VERTICAL_SYNCHRONIZATION 垂直同步
MENU_OPTIONS_DISPLAY_LANGUAGE 語言

WORLD_BUILDER_TITLE 世界製作器
WORLD_BUILDER_WORLD_NAME 世界名稱
WORLD_BUILDER_SAVE_WORLD 世界存檔
WORLD_BUILDER_SAVE_WORLD_SUCCESS 世界存檔成功
WORLD_BUILDER_LOAD_WORLD 載入世界
WORLD_BUILDER_MAIN_MENU 主選單
WORLD_BUILDER_CLEAR_WORLD 清除世界
WORLD_BUILDER_DELETE_WORLD 刪除世界
WORLD_BUILDER_SELECT_WORLD 選擇世界
WORLD_BUILDER_FREE_PLACEMENT 自由放置
WORLD_BUILDER_ALL 全部
WORLD_BUILDER_REMOVE_ALL_TILES 這會移除世界中的所有方塊！
WORLD_BUILDER_CONTINUE 您確定要繼續嗎？
WORLD_BUILDER_INVALID_NAME 錯誤的檔案名稱！
WORLD_BUILDER_NAME_ALREADY_EXISTS 世界名稱已存在
WORLD_BUILDER_OVERWRITE 您確定要取代它嗎？
WORLD_BUILDER_DELETE_WORLD_CONFIRM 您確定要刪除此世界嗎？

WARNING_TUNNELING_TITLE 嘿！
WARNING_TUNNELING_LINE1 您遊戲方式錯了！
WARNING_TUNNELING_LINE2 停下！
WARNING_TUNNELING_BUTTON 確定

INTERACTION_PRESS 按下
INTERACTION_USE 使用
INTERACTION_REFINE 精煉
INTERACTION_PICK_UP 撿起
INTERACTION_PUT_DOWN 放下
INTERACTION_PLACE 放置
INTERACTION_PLACE_LIFT 放下升降台
INTERACTION_PLACE_LIFT_ON_GROUND 將升降台置於地上
INTERACTION_PLACE_CREATION_ON_LIFT 將作品置於升降台上
INTERACTION_CHANGE_ROTATIONAL_DIRECTION 更改旋轉方向
INTERACTION_TO_USE 使用
INTERACTION_AND 和
INTERACTION_TO_ELEVATE_LIFT_UP_AND_DOWN 控制升降台上升與下降
INTERACTION_TINKER 升級
INTERACTION_UP 上
INTERACTION_DOWN 下
INTERACTION_USE_DRESSBOT 使用服裝機器人
INTERACTION_USE_WARDROBE 使用衣櫃
INTERACTION_EAT 吃
INTERACTION_FEED 餵
INTERACTION_REVIVE 復活	
INTERACTION_RESPAWN 重生
INTERACTION_FILL 填滿
INTERACTION_THROW 丟棄
INTERACTION_INSERT 插入
INTERACTION_FERTILIZE 施肥
INTERACTION_PLANT 種植
INTERACTION_PUT_SOIL 放土
INTERACTION_FORCE_BUILD 強制建造

INFO_REQUIRES 需要
INFO_REQUIRES_POWER 需要能源
INFO_TOO_STEEP 太陡了
INFO_OUT_OF_FUEL 燃料耗盡
INFO_OUT_OF_ENERGY 能源耗盡
INFO_BUSY 目標忙碌中
INFO_INVENTORY_FULL 物品欄滿了
INFO_HOME_STORED 重生點已儲存
INFO_HOME_NOT_STORED 睡在這裡很危險
INFO_HOME_CRASH_SITE 新重生點：墜毀的太空船
INFO_HOME_MECHANIC_STATION 新重生點：工作站

ALERT_DRIVERS_SEAT_ON_LIFT 確保在使用駕駛座前移除升降台
ALERT_DRIVERS_SEAT_OCCUPIED 此座位被佔用了
ALERT_ENGINE_NOT_CONNECTED 此引擎未連線到任何裝置上
ALERT_ENGINE_MAX_BEARINGS 此引擎連線的軸承已達上限
ALERT_CONTROLLER_MAX_BEARINGS 此控制器已連線到 10 個軸承
ALERT_SWITCH_NOT_CONNECTED 此開關未連線到任何裝置上
ALERT_SWITCH_ON_LIFT 此開關在升降台上
ALERT_BUTTON_NOT_CONNECTED 此按鈕未連線到任何裝置上
ALERT_BUTTON_ON_LIFT 此按鈕在升降台上
ALERT_MAX_BEARINGS_SEAT 此坐椅連線的軸承已達上限
ALERT_MAX_BEARINGS_ON_OBJECT 此設定下不允許在同一物品上安裝更多軸承
ALERT_MAX_BEARINGS_IN_WORLD 此世界設定下不允許使用更多軸承
ALERT_MAX_SUSPENSIONS_IN_WORLD 此世界設定下不允許使用更多懸架
ALERT_MAX_DRIVERS_SEATS_IN_WORLD 此世界設定下不允許使用更多駕駛座
ALERT_MAX_GAS_ENGINES_IN_WORLD 此世界設定下不允許使用更多燃氣引擎
ALERT_MAX_ELECTRIC_ENGINES_IN_WORLD 此世界設定下不允許使用更多電動引擎
ALERT_MAX_THRUSTERS_IN_WORLD 此世界設定下不允許使用更多推進器
ALERT_MAX_CONTROLLERS_IN_WORLD 此世界設定下不允許使用更多控制器
ALERT_NOT_THE_CREATOR_OF_BLUEPRINT 你不是這玩意的創作者
ALERT_FAILED_TO_PARSE_JSON 解析 JSON 失敗
ALERT_INVALID_JSON 錯誤的 JSON
ALERT_NON_EXISTING_SHAPE 不存在的形狀
ALERT_EMPTY_RIGID_BODY 空鋼體
ALERT_INVALID_JOINT_POSITIONS 錯誤的關節位置
ALERT_JOINT_CONNECTION_ERROR 關節連線錯誤
ALERT_CONTROLLER_CONNECTION_ERROR 控制器連線錯誤
ALERT_FAILED_TO_BUILD_SHAPE 建立型狀失敗
ALERT_MAX_CONNECTIONS 已達最大連線數
ALERT_MAX_CONNECTIONS_SWITCH 此開關已達最大連線數
ALERT_MAX_CONNECTIONS_BUTTON 此按鈕已達最大連線數
ALERT_MAX_CONNECTIONS_LOGIC_GATE 此邏輯閘已達最大連線數
ALERT_MAX_CONNECTIONS_SEAT 此座椅已達最大連線數
ALERT_MAX_CONNECTIONS_SENSOR 此感測器已達最大連線數
ALERT_MAX_CONNECTIONS_TIMER 此計時器已達最大連線數
ALERT_RADIO_CONNECTED_TO_BUTTON 將此無線電連線到一個按鈕
ALERT_RADIO_CONNECTED_TO_SWITCH 將此無線電連線到一個開關
ALERT_RADIO_CONNECTED_TO_SENSOR 將此無線電連線到一個感測器
ALERT_UNABLE_TO_COLLECT_ALL 不能收集全部的零件
ALERT_INSUFFICIENT_MATERIALS 零件不足

ALERT_HUNGER 飢餓
ALERT_THIRST 口渴

ALERT_STONE_TOO_BIG 對此大錘來說，這石頭太大了
ALERT_TREE_TOO_BIG 對此大錘來說，這顆樹太大了

DAMAGE_BREATH 溺水
DAMAGE_HUNGER 挨餓
DAMAGE_THIRST 脫水

WELCOME_MESSAGE_GREETING 嗨，工程師：
WELCOME_MESSAGE_MODE 歡迎來到廢材工程師：創造模式！
WELCOME_MESSAGE_PARAGRAPH1 這是展現你的創意和打造各種神奇作品的好地方！工程師？建築師？兩者皆是？ 你需要的一切都已經方便地堆在你的物品欄（I）裡。
WELCOME_MESSAGE_PARAGRAPH2 要想順利地上手遊戲，請翻開“工程師指導手冊”。該手冊在你的快捷欄裡。 請跟著指導完成“如何製造一台載具”。這將幫助你熟悉基本的建造系統，並將為日後提升你廢材工程師的技能打下良好的基礎。
WELCOME_MESSAGE_BUTTON 懂了！

CHAT_WELCOME_MESSAGE_LINE1 歡迎你工程師！
CHAT_WELCOME_MESSAGE_LINE2 廢材工程師還在開發中，接下來的更新中將會有更多的變化。
CHAT_PLAYER_JOINED 已加入此遊戲
CHAT_PLAYER_LEFT 已離開此遊戲
CHAT_PLAYER_DISCONNECTED 已離線
CHAT_PLAYER_RECONNECTED 重新連線
CHAT_PLAYER_KICKED 已踢除

INVENTORY_BACKPACK 背包
INVENTORY_TOOLS 工具
INVENTORY_DESCRIPTION 說明
INVENTORY_SEARCH 搜尋
INVENTORY_WEIGHT_LIGHT 輕型
INVENTORY_WEIGHT_MEDIUM 中型
INVENTORY_WEIGHT_HEAVY 重型
INVENTORY_CONFIRM_DESTROY_ITEM 摧毀這項物品？

STEAM_WORKSHOP STEAM 工作坊
STEAM_WORKSHOP_DESCRIPTION 說明
STEAM_WORKSHOP_PARTS 零件
STEAM_WORKSHOP_DELETE 刪除
STEAM_WORKSHOP_NO_DESCRIPTION 此藍圖沒有說明

STEAM_WORKSHOP_DOWNLOADING 下載中
STEAM_WORKSHOP_SHARING 分享中
STEAM_WORKSHOP_UPDATING 更新中

STEAM_WORKSHOP_FAILED_DOWNLOAD 工作坊物品下載失敗
STEAM_WORKSHOP_FAILED_CREATE_ITEM 建立工作坊物品失敗
STEAM_WORKSHOP_FAILED_FIND_FOLDER 找不到資料夾
STEAM_WORKSHOP_FAILED_REASON 原因
STEAM_WORKSHOP_FAILED_REASON_DISK_FULL 磁碟空間已滿
STEAM_WORKSHOP_FAILED_REASON_DATA_CORRUPTION 資料損壞
STEAM_WORKSHOP_FAILED_REASON_ACCESS_DENIED 拒絕存取
STEAM_WORKSHOP_FAILED_REASON_ERROR_CODE 錯誤代碼

STEAM_WORKSHOP_ACTION_VERIFY_INTEGRITY 請驗證遊戲檔案的完整性

STEAM_WORKSHOP_IMPORT_TITLE 載入藍圖
STEAM_WORKSHOP_IMPORT_BUILD 建造
STEAM_WORKSHOP_IMPORT_SHARE 分享
STEAM_WORKSHOP_IMPORT_UPDATE 更新

STEAM_WORKSHOP_IMPORT_UPLOADING 上傳...

STEAM_WORKSHOP_IMPORT_NO_BLUEPRINT 未發現藍圖
STEAM_WORKSHOP_IMPORT_MODS_MISSING 缺少模組
STEAM_WORKSHOP_IMPORT_PARTS_MISSING 缺少零件
STEAM_WORKSHOP_IMPORT_SEARCH_TEXT 搜尋

STEAM_WORKSHOP_EXPORT_TITLE 儲存藍圖
STEAM_WORKSHOP_EXPORT_SAVE 儲存
STEAM_WORKSHOP_EXPORT_UNNAMED 未命名

UGC_AND_CONTENT 和
UGC_AND_CORE_GAME 和核心遊戲！

UGC_ASSET_MOD Asset 模組

UGC_ERROR_ID_CONFLICT Id 衝突

CONTROLLER_HORN_PITCH 音調

CONTROLLER_MOTOR_GAS_ENGINE 燃氣引擎
CONTROLLER_MOTOR_ELECTRIC_ENGINE 電動引擎
CONTROLLER_MOTOR_OFF 關

CONTROLLER_SENSOR_TITLE 懸吊性能

CONTROLLER_SENSOR_TITLE 感測器距離
CONTROLLER_SENSOR_MODE 模式
CONTROLLER_SENSOR_MODE_SWITCH 開關
CONTROLLER_SENSOR_MODE_BUTTON 按鈕
CONTROLLER_SENSOR_SOUND 聲音
CONTROLLER_SENSOR_COLOR 上色模式

CONTROLLER_SEQUENCE_TITLE 旋轉編輯器
CONTROLLER_SEQUENCE_NO_BEARINGS 未連線軸承
CONTROLLER_SEQUENCE_SLOW 慢
CONTROLLER_SEQUENCE_FAST 快

CONTROLLER_THRUSTER_TITLE 推進器

CONTROLLER_TONE_TITLE 記錄
CONTROLLER_TONE_VOLUME 音量
CONTROLLER_TONE_BUTTON_RETRO 復古
CONTROLLER_TONE_BUTTON_DANCE 跳舞

CONTROLLER_LOGIC_TITLE 邏輯閘
CONTROLLER_LOGIC_LABEL_BASIC 基礎
CONTROLLER_LOGIC_LABEL_INVERTED 反向
CONTROLLER_LOGIC_DESCRIPTION_AND 連線到此裝置的所有觸發器被觸發時啟動
CONTROLLER_LOGIC_DESCRIPTION_OR 連線到此裝置的任何觸發器被觸發時啟動
CONTROLLER_LOGIC_DESCRIPTION_XOR 連線到此裝置的觸發器僅有一個被觸發時啟動
CONTROLLER_LOGIC_DESCRIPTION_NAND 連線到此裝置的任何觸發器未被觸發時啟動
CONTROLLER_LOGIC_DESCRIPTION_NOR 連線到此裝置的所有觸發器未被觸發時啟動
CONTROLLER_LOGIC_DESCRIPTION_XNOR 連線到此裝置的觸發器有偶數被觸發時啟動

CONTROLLER_TIMER_TITLE 延遲
CONTROLLER_TIMER_SUFFIX_SECONDS 秒
CONTROLLER_TIMER_SUFFIX_TICKS Ticks

CONTROLLER_LIGHT_TITLE 距離

CONTROLLER_PISTON_TITLE 活塞
CONTROLLER_PISTON_RANGE 距離
CONTROLLER_PISTON_SPEED 速度

CHEST_TITLE_LOST_ITEMS 遺失物品
CHEST_TITLE_BACKPACK 背包

TOOLS_PAINT_COLORS 顏色

TOOL_TIP_IE_EDIT_DESCRIPTION 編輯說明
TOOL_TIP_IE_EDIT_NAME 編輯名稱
TOOL_TIP_IE_SAVE_CREATION 儲存此作品到你的作品庫
TOOL_TIP_IE_REMOVE_FROM_LIFT 將此物品從升降台上移除
TOOL_TIP_IE_BLOCK_NOT_FOUND 未發現的方塊
TOOL_TIP_IE_OPEN_IN_STEAM_WORKSHOP 打開在 Steam 的工作坊
TOOL_TIP_IE_BROWSE_WORKSHOP 瀏覽工作坊
TOOL_TIP_IE_BUILD_CREATION 建造此作品
TOOL_TIP_IE_LIFT_OCCUPIED 此升降台已被佔用
TOOL_TIP_IE_UPLOAD_TO_WORKSHOP 上傳到工作坊
TOOL_TIP_IE_UPDATE_ON_WORKSHOP 更新工作坊
TOOL_TIP_IE_DELETE_BLUEPRINT 刪除此藍圖
TOOL_TIP_IE_NEW_THUMBNAIL 製作新縮圖
TOOL_TIP_IE_DRAG_TO_ROTATE 拖動施轉

HANDBOOK_TOOLTIP_HOW_TO_PLAY 如何遊戲
HANDBOOK_TOOLTIP_HOW_TO_BUILD_A_VEHICLE 如何建造一台車輛
HANDBOOK_TOOLTIP_BEARING 軸承
HANDBOOK_TOOLTIP_LIFT 升降台
HANDBOOK_TOOLTIP_CONNECT_TOOL 連線工具
HANDBOOK_TOOLTIP_DRIVERS_SEAT 駕駛座
HANDBOOK_TOOLTIP_GAS_ENGINE 燃氣引擎
HANDBOOK_TOOLTIP_THRUSTER 推進器
HANDBOOK_TOOLTIP_TRIGGERS 觸發器
HANDBOOK_TOOLTIP_CONTROLLER 控制器
HANDBOOK_TOOLTIP_LOGIC_GATE 邏輯閘
HANDBOOK_TOOLTIP_FREQUENTLY_ASKED_QUESTIONS 常見問題

HANDBOOK_HOLD_AND_DRAG 按住並拖動
HANDBOOK_PRESS 按
HANDBOOK_RELEASE 放開
HANDBOOK_HOLD 按住
HANDBOOK_ARROW_KEYS 方向鍵

HANDBOOK_HOW_TO_PLAY_TITLE 如何遊玩

HANDBOOK_HOW_TO_PLAY_PAGE1_SUBTITLE1 • 導航 & 移動控制
HANDBOOK_HOW_TO_PLAY_PAGE1_SUBTITLE2 • 如何使用物品欄及快捷欄
HANDBOOK_HOW_TO_PLAY_PAGE1_MOVE 移動
HANDBOOK_HOW_TO_PLAY_PAGE1_LOOK 觀察
HANDBOOK_HOW_TO_PLAY_PAGE1_CAMERA 鏡頭
HANDBOOK_HOW_TO_PLAY_PAGE1_IN_OUT 縮小/放大
HANDBOOK_HOW_TO_PLAY_PAGE1_JUMP 跳躍
HANDBOOK_HOW_TO_PLAY_PAGE1_SPRINT 衝刺
HANDBOOK_HOW_TO_PLAY_PAGE1_CROUCH 蹲下
HANDBOOK_HOW_TO_PLAY_PAGE1_INVENTORY 物品欄
HANDBOOK_HOW_TO_PLAY_PAGE1_HOTBAR 快捷欄

HANDBOOK_HOW_TO_PLAY_PAGE2_SUBTITLE1 • 如何放置、旋轉及移除物件
HANDBOOK_HOW_TO_PLAY_PAGE2_SUBTITLE2 • 縮放基礎材料和改變縮放方向
HANDBOOK_HOW_TO_PLAY_PAGE2_ADJUST_POSITION 調整位置
HANDBOOK_HOW_TO_PLAY_PAGE2_OBJECT_PLACE 放置物件
HANDBOOK_HOW_TO_PLAY_PAGE2_OBJECT_REMOVE 移除物件
HANDBOOK_HOW_TO_PLAY_PAGE2_OBJECT_ROTATE 旋轉物件
HANDBOOK_HOW_TO_PLAY_PAGE2_ROTATE_DIRECTION 旋轉方向

HANDBOOK_HOW_TO_PLAY_PAGE3_SUBTITLE • 瞭解廢材工程師中的方塊及零件
HANDBOOK_HOW_TO_PLAY_PAGE3_BLOCKS 方塊
HANDBOOK_HOW_TO_PLAY_PAGE3_BLOCKS_TEXT 最常用的建造零件，這些方塊可用石頭、木頭、 塑膠或金屬製成，拖動然後放開就能簡單的調整 大小。非常適合快速方便地建造大型建築。可以 通過按住右鍵並拖動刪除。方塊物品欄中以藍色 線條表示。
HANDBOOK_HOW_TO_PLAY_PAGE3_INTERACTIVE_PARTS 互動零件
